location,lat,long
Obuasi,6.1973888,-1.6870297
Iduapriem,5.2526101,-2.0490137
Nkroful,4.95613,-1.74714
Akyempim,5.292,-1.4359
Prestea/Bogosu,5.5171,-2.0644
Tarkwa,5.3109351,-1.9924259
Damang,5.5141878,-1.8634682
Chirano,6.26999,-2.31648
Kenyase,6.74308,-1.562
Abirem,6.33856,-0.99564
Ayanfuri,5.9602024,-1.8951464
Bibiani,6.452944,-2.3149591
Oterkpolu,6.20833,-0.11925
Prestea,5.4348895,-2.141486
Awaso,6.2425255,-2.2845655
Nsuta,5.273368,-1.9821333
Jubilee Field,4.49275,-2.91667
Saltpond Field,,